DateTime,Vert Accelerometer,Lat Accelerometer,Long Accelerometer
2024-12-03 14:49:30.933000+00:00,-612,-137,-694
2024-12-03 14:49:30.937000+00:00,-608,-113,-702
2024-12-03 14:49:30.941000+00:00,-605,-94,-706
2024-12-03 14:49:30.945000+00:00,-593,-78,-718
2024-12-03 14:49:30.949000+00:00,-612,-98,-733
2024-12-03 14:49:30.953000+00:00,-624,-94,-737
2024-12-03 14:49:30.956000+00:00,-628,-82,-745
2024-12-03 14:49:30.960000+00:00,-628,-66,-741
2024-12-03 14:49:30.964000+00:00,-628,-55,-718
2024-12-03 14:49:30.968000+00:00,-628,-59,-710
2024-12-03 14:49:30.972000+00:00,-647,-121,-655
2024-12-03 14:49:30.976000+00:00,-632,-129,-663
2024-12-03 14:49:30.980000+00:00,-640,-156,-640
2024-12-03 14:49:30.984000+00:00,-644,-148,-644
2024-12-03 14:49:30.988000+00:00,-632,-129,-667
2024-12-03 14:49:30.992000+00:00,-628,-101,-702
2024-12-03 14:49:30.996000+00:00,-628,-82,-683
2024-12-03 14:49:30.999000+00:00,-624,-94,-725
2024-12-03 14:49:31.003000+00:00,-620,-109,-741
2024-12-03 14:49:31.007000+00:00,-632,-105,-741
2024-12-03 14:49:31.011000+00:00,-640,-113,-737
2024-12-03 14:49:31.015000+00:00,-640,-121,-745
2024-12-03 14:49:31.019000+00:00,-636,-117,-749
2024-12-03 14:49:31.023000+00:00,-640,-125,-725
2024-12-03 14:49:31.027000+00:00,-624,-129,-725
2024-12-03 14:49:31.031000+00:00,-616,-129,-737
2024-12-03 14:49:31.035000+00:00,-612,-113,-725
2024-12-03 14:49:31.039000+00:00,-608,-109,-737
2024-12-03 14:49:31.042000+00:00,-601,-113,-733
2024-12-03 14:49:31.046000+00:00,-608,-117,-733
2024-12-03 14:49:31.050000+00:00,-601,-113,-733
2024-12-03 14:49:31.054000+00:00,-605,-109,-745
2024-12-03 14:49:31.058000+00:00,-612,-82,-784
2024-12-03 14:49:31.062000+00:00,-624,-62,-780
2024-12-03 14:49:31.066000+00:00,-624,-59,-835
2024-12-03 14:49:31.070000+00:00,-636,-47,-839
2024-12-03 14:49:31.074000+00:00,-651,-62,-854
2024-12-03 14:49:31.078000+00:00,-651,-66,-850
2024-12-03 14:49:31.081000+00:00,-647,-74,-862
2024-12-03 14:49:31.085000+00:00,-655,-62,-858
2024-12-03 14:49:31.089000+00:00,-655,-62,-846
2024-12-03 14:49:31.093000+00:00,-659,-59,-835
2024-12-03 14:49:31.097000+00:00,-655,-59,-811
2024-12-03 14:49:31.101000+00:00,-640,-70,-831
2024-12-03 14:49:31.105000+00:00,-628,-70,-827
2024-12-03 14:49:31.109000+00:00,-636,-51,-815
2024-12-03 14:49:31.113000+00:00,-624,-43,-835
2024-12-03 14:49:31.117000+00:00,-612,-27,-839
2024-12-03 14:49:31.121000+00:00,-608,-47,-842
2024-12-03 14:49:31.124000+00:00,-608,-55,-839
2024-12-03 14:49:31.128000+00:00,-601,-66,-842
2024-12-03 14:49:31.132000+00:00,-589,-55,-839
2024-12-03 14:49:31.136000+00:00,-581,-47,-854
2024-12-03 14:49:31.140000+00:00,-585,-70,-842
2024-12-03 14:49:31.144000+00:00,-573,-66,-827
2024-12-03 14:49:31.148000+00:00,-562,-78,-842
2024-12-03 14:49:31.152000+00:00,-569,-82,-850
2024-12-03 14:49:31.156000+00:00,-573,-78,-831
2024-12-03 14:49:31.160000+00:00,-562,-86,-819
2024-12-03 14:49:31.164000+00:00,-546,-86,-823
2024-12-03 14:49:31.167000+00:00,-546,-98,-819
2024-12-03 14:49:31.171000+00:00,-550,-113,-800
2024-12-03 14:49:31.175000+00:00,-530,-113,-796
2024-12-03 14:49:31.179000+00:00,-530,-121,-807
2024-12-03 14:49:31.183000+00:00,-534,-113,-784
2024-12-03 14:49:31.187000+00:00,-542,-86,-784
2024-12-03 14:49:31.191000+00:00,-534,-78,-788
2024-12-03 14:49:31.195000+00:00,-534,-78,-800
2024-12-03 14:49:31.199000+00:00,-530,-59,-788
2024-12-03 14:49:31.203000+00:00,-534,-66,-792
2024-12-03 14:49:31.206000+00:00,-523,-62,-792
2024-12-03 14:49:31.210000+00:00,-530,-62,-784
2024-12-03 14:49:31.214000+00:00,-523,-59,-788
2024-12-03 14:49:31.218000+00:00,-527,-62,-784
2024-12-03 14:49:31.222000+00:00,-515,-78,-784
2024-12-03 14:49:31.226000+00:00,-507,-86,-784
2024-12-03 14:49:31.230000+00:00,-523,-86,-780
2024-12-03 14:49:31.234000+00:00,-523,-82,-768
2024-12-03 14:49:31.238000+00:00,-562,-51,-757
2024-12-03 14:49:31.242000+00:00,-527,-90,-796
2024-12-03 14:49:31.246000+00:00,-534,-105,-788
2024-12-03 14:49:31.249000+00:00,-562,-90,-776
2024-12-03 14:49:31.253000+00:00,-573,-101,-792
2024-12-03 14:49:31.257000+00:00,-573,-105,-796
2024-12-03 14:49:31.261000+00:00,-577,-94,-803
2024-12-03 14:49:31.265000+00:00,-573,-94,-807
2024-12-03 14:49:31.269000+00:00,-585,-86,-807
2024-12-03 14:49:31.273000+00:00,-585,-98,-807
2024-12-03 14:49:31.277000+00:00,-601,-101,-803
2024-12-03 14:49:31.281000+00:00,-601,-113,-811
2024-12-03 14:49:31.285000+00:00,-644,-144,-815
2024-12-03 14:49:31.289000+00:00,-601,-125,-792
2024-12-03 14:49:31.292000+00:00,-577,-86,-780
2024-12-03 14:49:31.296000+00:00,-573,-101,-776
2024-12-03 14:49:31.300000+00:00,-597,-144,-784
2024-12-03 14:49:31.304000+00:00,-605,-152,-784
2024-12-03 14:49:31.308000+00:00,-608,-152,-768
2024-12-03 14:49:31.312000+00:00,-608,-140,-768
2024-12-03 14:49:31.316000+00:00,-612,-144,-764
2024-12-03 14:49:31.320000+00:00,-612,-160,-772
2024-12-03 14:49:31.324000+00:00,-620,-172,-749
2024-12-03 14:49:31.328000+00:00,-655,-168,-741
2024-12-03 14:49:31.331000+00:00,-601,-176,-757
2024-12-03 14:49:31.335000+00:00,-616,-179,-749
2024-12-03 14:49:31.339000+00:00,-608,-148,-729
2024-12-03 14:49:31.343000+00:00,-597,-160,-725
2024-12-03 14:49:31.347000+00:00,-597,-168,-733
2024-12-03 14:49:31.351000+00:00,-589,-164,-741
2024-12-03 14:49:31.355000+00:00,-593,-156,-741
2024-12-03 14:49:31.359000+00:00,-585,-164,-741
2024-12-03 14:49:31.363000+00:00,-589,-164,-757
2024-12-03 14:49:31.367000+00:00,-577,-140,-772
2024-12-03 14:49:31.371000+00:00,-593,-156,-780
2024-12-03 14:49:31.374000+00:00,-581,-156,-784
2024-12-03 14:49:31.378000+00:00,-581,-156,-796
2024-12-03 14:49:31.382000+00:00,-581,-156,-800
2024-12-03 14:49:31.386000+00:00,-577,-152,-819
2024-12-03 14:49:31.390000+00:00,-569,-137,-823
2024-12-03 14:49:31.394000+00:00,-562,-176,-831
2024-12-03 14:49:31.398000+00:00,-562,-199,-823
2024-12-03 14:49:31.402000+00:00,-573,-230,-815
2024-12-03 14:49:31.406000+00:00,-554,-199,-803
2024-12-03 14:49:31.410000+00:00,-554,-203,-768
2024-12-03 14:49:31.414000+00:00,-550,-179,-772
2024-12-03 14:49:31.417000+00:00,-527,-164,-792
2024-12-03 14:49:31.421000+00:00,-519,-164,-796
2024-12-03 14:49:31.425000+00:00,-515,-148,-819
2024-12-03 14:49:31.429000+00:00,-523,-140,-827
2024-12-03 14:49:31.433000+00:00,-530,-137,-846
2024-12-03 14:49:31.437000+00:00,-538,-129,-846
2024-12-03 14:49:31.441000+00:00,-546,-152,-862
2024-12-03 14:49:31.445000+00:00,-558,-152,-858
2024-12-03 14:49:31.449000+00:00,-569,-148,-862
2024-12-03 14:49:31.453000+00:00,-569,-152,-858
2024-12-03 14:49:31.456000+00:00,-569,-144,-862
2024-12-03 14:49:31.460000+00:00,-566,-152,-874
2024-12-03 14:49:31.464000+00:00,-562,-152,-870
2024-12-03 14:49:31.468000+00:00,-554,-168,-881
2024-12-03 14:49:31.472000+00:00,-554,-168,-874
2024-12-03 14:49:31.476000+00:00,-550,-168,-881
2024-12-03 14:49:31.480000+00:00,-554,-168,-866
2024-12-03 14:49:31.484000+00:00,-554,-176,-862
2024-12-03 14:49:31.488000+00:00,-554,-172,-850
2024-12-03 14:49:31.492000+00:00,-558,-176,-850
2024-12-03 14:49:31.496000+00:00,-550,-183,-839
2024-12-03 14:49:31.499000+00:00,-546,-176,-839
2024-12-03 14:49:31.503000+00:00,-542,-176,-819
2024-12-03 14:49:31.507000+00:00,-534,-168,-819
2024-12-03 14:49:31.511000+00:00,-530,-176,-815
2024-12-03 14:49:31.515000+00:00,-530,-168,-807
2024-12-03 14:49:31.519000+00:00,-523,-183,-811
2024-12-03 14:49:31.523000+00:00,-523,-179,-803
2024-12-03 14:49:31.527000+00:00,-534,-187,-803
2024-12-03 14:49:31.531000+00:00,-542,-191,-811
2024-12-03 14:49:31.535000+00:00,-558,-203,-819
2024-12-03 14:49:31.539000+00:00,-558,-203,-823
2024-12-03 14:49:31.542000+00:00,-566,-203,-835
2024-12-03 14:49:31.546000+00:00,-569,-195,-831
2024-12-03 14:49:31.550000+00:00,-585,-191,-831
2024-12-03 14:49:31.554000+00:00,-585,-195,-831
2024-12-03 14:49:31.558000+00:00,-597,-176,-835
2024-12-03 14:49:31.562000+00:00,-605,-187,-831
2024-12-03 14:49:31.566000+00:00,-601,-191,-827
2024-12-03 14:49:31.570000+00:00,-597,-176,-819
2024-12-03 14:49:31.574000+00:00,-605,-183,-819
2024-12-03 14:49:31.578000+00:00,-601,-179,-823
2024-12-03 14:49:31.581000+00:00,-597,-168,-803
2024-12-03 14:49:31.585000+00:00,-597,-176,-811
2024-12-03 14:49:31.589000+00:00,-593,-168,-792
2024-12-03 14:49:31.593000+00:00,-589,-160,-792
2024-12-03 14:49:31.597000+00:00,-593,-160,-776
2024-12-03 14:49:31.601000+00:00,-589,-172,-772
2024-12-03 14:49:31.605000+00:00,-597,-164,-761
2024-12-03 14:49:31.609000+00:00,-597,-164,-761
2024-12-03 14:49:31.613000+00:00,-597,-183,-757
